"strain" "sex" "age" "litter" "littersize" "femalelitterratio" "cage" "tag" "nosesniff" "bodysniff" "anogenitalsniff" "pawing" "walkingpassive" "notwalkingpassive" "inactive" "rear" "selfgroom" "bigdig" "na" "sniff" "passivepawing" "nonsocial" "chambtime" "chambpref" "champrefchange" "snifftime" "sniffpref" "sniffprefchange" "stimfollowtest" "testfollowstim" "mousewtadj" "brainwt" "ccarea" "ccindex" "ccindexdiv"
"11" "balb/cj" "female" 30 "b15" 10 0.215254123617068 6 21565 2.58436200955228 5.16872401910456 0 0 9.04526703343298 12.9218100477614 0 27.1358011002989 3.87654301432842 6.4609050238807 26.2743470928076 7.75308602865684 21.9670770811944 37.4732491385081 244.222209902691 130.51028148239 139.555548515823 71.0699552626877 40.0576111480604 41.3497921528365 81.4074033008968 151.185177558808 23.5693815271168 0.594403262197025 1.06217278592599 1.24973710358384 "cc1"
"12" "balb/cj" "female" 30 "b15" 6 0.405731060865182 6 21566 1.96526073245921 8.84367329606645 1.31017382131193 0 3.27543455377114 7.20595601868957 0 28.1687371685241 0.982630366229606 2.94789109868882 13.7568251272145 12.1191078468897 10.4813905763912 32.0992586334426 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "balb/cj" "male" 30 "b11" 5 0.293941616011459 7 21557 1.1773181405931 0.168188305654853 0 0 1.34550644675252 2.18644797553135 0 7.73666206617803 0.840941529283397 2.18644797553135 16.146077359012 1.34550644675252 3.53195442228388 10.7640515709928 134.718832964256 121.09558019259 100.66070103509 0 2.52282458734562 2.52282458734562 20.182596698765 26.7419406258636 NA NA NA NA NA
"14" "balb/cj" "male" 30 "b11" 4 0.447899716430699 7 21558 2.16838734926602 1.85861772820782 0.3097696210582 0.92930886410391 2.47815697125353 1.23907848516211 0 38.4114330465306 3.40746583535744 2.78792659231173 7.43447091283128 4.33677469946135 4.64654432051955 44.6068254769877 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "c57bl6/j" "female" 30 "c17" 7 0.253627020492444 8 41366 2.54561910532281 2.77703902373606 0 2.3141991862153 1.61993943028128 7.40543739894369 0 9.71963658307621 3.23987886125682 7.63685731527416 15.2737146305483 5.32265812905887 11.3395760112747 20.59637276169 94.419326807026 0.694259755934015 23.9519615797235 45.821143891645 38.1842865763708 39.9199359662058 16.6622341424164 118.024158508782 10.3236425707388 0.290825411760759 0.493639514261763 0.592683391391275 "cc1"
"16" "c57bl6/j" "female" 30 "c17" 6 0.221545637426097 8 41367 0.402683438617843 0.732151706547944 0.0732151706877412 0 0.292860682641142 1.1348351447265 0 1.42769582769711 1.3544806566799 0.512506194594543 1.9035944365634 1.20805031574371 1.42769582769711 3.29468267930102 12.3001486693905 3.62415094723112 2.91030303338256 3.84379645918452 2.52592338746411 2.96521441137091 1.64734133965051 9.11528874606614 1.60341223725983 0.0460157347542375 0.0781169263262271 0.0942852471646048 "cc1"
"17" "c57bl6/j" "male" 30 "c17" 7 0.338763824183635 9 41368 1.97404268331758 5.52731951257856 0 1.97404268331758 0.394808536189745 14.2131073170439 0 22.5040865853196 9.87021341421904 1.57923414594341 20.1352353658122 7.50136219471171 16.5819585365513 33.9535341502197 290.184274389647 258.204782926298 275.378954267726 132.65566829241 121.995837804627 126.733540243642 29.6106402438415 100.676176829061 20.4787187926408 0.499590722194094 0.851436193827517 1.00671069112062 "cc1"
"18" "c57bl6/j" "male" 30 "c17" 5 0.105045353652495 9 41369 1.11584818558867 4.68656237853509 0.669508911219298 0 2.90120528172712 4.24022310416572 0 9.37312475707017 1.78535709680796 2.45486600802726 15.3987049580439 6.47191947534305 7.14142838857087 13.6133478592274 137.918835711175 103.104372327772 101.095845594114 50.2131683414473 40.1705346731579 42.1790614068158 17.4072316917017 87.0361584585087 11.9842095108254 0.29384746113415 0.512194402350099 0.584594006048847 "cc1"
"19" "balb/cj" "male" 30 "b27" 15 0.305354253867707 10 21114 2.55152572876011 4.25254288084159 0 0 2.55152572876011 3.82728859314016 0 29.3425458807412 2.97678001646154 5.52830574522164 32.7445801900072 6.80406860960169 6.37881432190026 37.8476316475274 190.088666792628 53.5820403039622 120.559590683915 102.061029150404 88.0276376422236 80.3730604559433 47.203225982062 90.5791633709837 26.7655048946935 0.601649766841633 1.08863396743279 1.20202660556397 "cc1"
"20" "balb/cj" "male" 30 "b27" 4 0.164082081020361 10 21115 2.69091899909903 4.03637849864855 0 1.34545949954952 0.896973000148163 4.93335149879671 0 26.4607034956253 2.69091899909903 17.9394599895087 31.8425414938234 6.72729749774758 7.17578399714893 47.091082484233 226.037195924319 115.709516961258 178.273383690311 115.709516961258 94.1821649684661 101.582192215988 32.2910279891884 122.436814459006 26.2902786211975 0.622813202341471 1.11650265651117 1.02362342914023 "cc1"
"21" "c57bl6/j" "female" 30 "c19" 6 0.166200034863832 11 41374 1.88823173006871 6.92351634358525 0 0 0 16.3646749939288 0 16.9940855706184 10.0705692270331 4.40587403682698 29.5822971044097 8.81174807365396 16.3646749939288 31.4705288344784 275.681832590031 213.999596074453 179.382014356527 130.91739995143 124.623294184535 120.846830724397 30.2117076810993 176.234961473079 21.9160762803308 0.541041331722353 0.932106711231116 1.15490258824371 "cc1"
"22" "c57bl6/j" "female" 30 "c19" 9 0.420069821767116 11 41375 1.30906051488138 3.05447453472323 0 0.436353504960462 0.872707009920923 11.7815446339325 0 17.017786693458 9.16342360416969 0.872707009920923 19.1995542182603 4.36353504960462 13.0906051488138 27.0539173075486 201.595319291733 167.559745904817 144.433010141913 59.3440766746228 54.9805416250182 50.1806530704531 27.9266243174695 116.942739329404 13.9807662989332 0.369067794495558 0.62994610097122 0.849941160324296 "cc1"
"23" "c57bl6/j" "male" 30 "c19" 9 0.680604411702293 12 41376 1.35640351231457 2.03460526847185 0.678201756157284 0 1.35640351231457 3.39100878078642 0 10.8512280985165 6.10381580541556 3.39100878078642 15.5986403916175 4.06921053694371 4.74741229310099 20.3460526847185 130.892938938356 78.671403714245 113.598794156345 50.8651317117963 40.0139036132798 48.1523246871672 14.9204386354603 72.5675879088294 13.0621658235893 0.303224005177922 0.53386007639433 0.617745415860306 "cc1"
"24" "c57bl6/j" "male" 30 "c19" 13 0.534661846190952 12 41377 0.734061340003199 1.2846073450056 0 0 0.3670306700016 2.3856993550104 0.550546005002399 3.670306700016 2.2021840200096 4.58788337501999 9.35928208504079 2.0186686850088 2.752730025012 11.010920100048 89.1884528103887 80.7467474003519 116.532237725508 31.9316682901392 30.4635456101328 34.3173676451496 2.9362453600128 31.9316682901392 7.97557645913476 0.155731113281679 0.266321124459861 0.349018291192135 "cc1"
"25" "balb/cj" "female" 30 "b39" 11 0.237866213857739 13 21157 3.90661882855707 2.9299641214178 0.488327353569634 0 2.44163676784817 4.3949461821267 0 17.0914573749372 0 4.3949461821267 26.3696770927602 7.32491030354451 6.83658294997487 21.4864035570639 58.5992824283561 146.49820607089 122.570165745978 22.4630582642032 9.76654707139268 9.27821971782304 27.3463317998995 83.992304813977 16.9351926217949 0.446428866633359 0.795162962911578 1.06122046257778 "cc1"
"26" "balb/cj" "female" 30 "b39" 5 0.428208372054466 13 21158 4.03227080938417 2.01613540469209 1.00806770234604 0 1.51210155351907 5.54437236290324 0 10.0806770234604 0.504033851173022 8.06454161876835 30.7460649215543 7.05647391642231 7.05647391642231 18.6492524934018 215.726488302053 153.226290756599 113.911650365103 76.6131453782993 61.4921298431087 60.4840621407626 20.1613540469209 146.169816840176 15.8669856349267 0.426211024551907 0.727381331304811 1.17633045796737 "cc1"
"27" "balb/cj" "male" 30 "b36" 3 0.536421576384681 14 21147 1.95163340851733 0.887106094780606 0.354842437912242 0 0.177421218956121 3.3710031601663 0 8.33879729093769 0.354842437912242 0.532263656868363 7.27426997720097 3.19358194121018 3.54842437912242 9.2259033857183 6.7420063203326 4.61295169285915 0.887106094780606 4.25810925494691 0.354842437912242 0.354842437912242 5.32263656868363 22.3550735884713 7.40201325484937 0.1597145813043 0.282195545598469 0.36052245120353 "cc1"
"28" "balb/cj" "male" 30 "b36" 3 1.02369992020193 14 21148 2.77678458238149 1.51460977220808 0.504869924069361 0 0.504869924069361 4.29139435458957 0 7.06817893697106 1.00973984813872 3.53408946848553 12.621748101734 4.79626427865893 4.79626427865893 11.6120082535953 4.54382931662425 18.6801871905664 14.3887928359768 0 0 0.252434962034681 18.175317266497 19.6899270387051 9.82981742163047 0.209722966458413 0.354206641328583 0.518844914913303 "cc1"
"29" "c57bl6/j" "female" 30 "c25" 14 0.5226138884891 15 41401 0.189387710286104 1.13632626171662 0 0.568163130858311 2.08326481314714 3.40897878514987 0 6.81795757029974 1.51510168228883 0.946938551430519 9.27999780401909 1.32571397200273 6.06040672915532 9.27999780401909 83.7093679464579 65.9069231795641 72.5354930395778 39.7714191600818 35.6048895337875 37.1199912160764 10.6057117760218 28.0293811223434 6.46190867496186 0.151926821191513 0.251116740576757 0.382030103674686 "cc1"
"30" "c57bl6/j" "female" 30 "c25" 15 0.678980781035853 15 41402 0.720149166266328 9.36193916146226 0 0 2.88059666506531 15.1231324915929 0 18.0037291566582 8.64178999519594 7.92164082892961 33.8470108145174 10.0820883277286 18.0037291566582 35.2873091470501 308.223843161988 201.641766554572 216.764899046165 151.231324915929 141.1492365882 142.589534920733 31.6865633157184 112.343269937547 21.4028332214353 0.581160377176927 0.964207718713986 1.51606576354681 "cc1"
"31" "c57bl6/j" "male" 30 "c37" 8 0.769605294640038 16 41446 3.68955525694937 3.68955525694937 0.614925876158228 0.614925876158228 6.14925876158228 20.2925539132215 0 19.0627021609051 3.68955525694937 9.83881401853165 30.7462938079114 7.99403639005697 27.056738550962 32.5910714363861 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "c57bl6/j" "male" 30 "c37" 4 0.475344404984059 16 41447 3.77270660420823 6.28784434034706 0.628784434034706 2.51513773613882 3.77270660420823 18.8635330210412 0 25.1513773613882 9.43176651052059 3.77270660420823 25.1513773613882 10.68933537859 25.1513773613882 38.3558504761171 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "balb/cj" "female" 30 "b53" 11 0.329849407000711 17 21203 5.3195867740962 4.1374563798526 1.1821303942436 1.1821303942436 2.3642607884872 3.5463911827308 0 25.4158034762374 5.910651971218 5.3195867740962 29.55325985609 10.6391735481924 7.0927823654616 36.6460422215516 173.773167953809 17.731955913654 25.4158034762374 59.10651971218 56.7422589236928 56.7422589236928 34.2817814330644 183.230211107758 18.110237639812 0.502641843632379 0.860638212225111 1.13118900284141 "cc1"
"34" "balb/cj" "female" 30 "b53" 8 0.317926611341901 17 21204 5.85640096173092 3.90426730782061 0.650711217970102 0 3.90426730782061 5.20568974376082 0 23.4256038469237 1.95213365391031 11.0620907054917 35.1384057703855 10.4113794875216 9.10995705158143 36.4398282063257 227.748926289536 149.663580133124 188.70625321133 123.635131414319 96.3052602595752 92.4009929517545 31.2341384625649 170.486339108167 21.2001714814659 0.558310225018348 0.960840184454653 1.31499544554381 "cc1"
"35" "balb/cj" "male" 30 "b37" 9 0.144338846833692 18 21151 4.33742893911693 4.87960755650655 0 0 2.16871446955847 12.4701081999612 0 11.9279295825716 0.542178617389616 3.2530717043377 34.6994315129355 9.21703649562348 14.6388226695196 15.7231799042989 195.184302260262 79.158078138884 111.146616564871 104.098294538806 88.9172932518971 89.4594718692867 14.09664405213 110.604437947482 20.2883238627194 0.498479020828013 0.890463317628358 1.14308736504913 "cc1"
"36" "balb/cj" "male" 30 "b37" 12 0.243178817195272 18 21152 4.24405698581607 8.48811397163214 0 0 3.71354986258906 6.89659260195111 0 16.9762279432643 1.06101424645402 5.30507123227009 22.2812991755344 12.7321709574482 10.6101424645402 23.3423134219884 188.860535868815 74.2709972517812 94.9607750576346 37.1354986258906 20.1592706826263 13.7931852039022 56.2337550620629 47.7456410904308 20.7534386606406 0.506103795558566 0.920854264497442 1.06684153192216 "cc1"
"37" "c57bl6/j" "female" 30 "c26" 8 0.300784343280168 19 41404 2.87191527266659 5.02585172716653 0 0.717978818166647 2.15393645449994 41.6427714536655 47.3866019989987 0.717978818166647 4.30787290899988 0.717978818166647 4.30787290899988 7.89776699983311 44.5146867263321 53.1304325443319 86.1574581799976 86.1574581799976 94.0552251798307 41.6427714536655 41.6427714536655 43.7967079081655 8.61574581799976 124.928314360997 19.0838769868695 0.656089044040682 1.16833821164986 1.26129943240104 "cc1"
"38" "c57bl6/j" "female" 30 "c26" 8 0.204347924927932 19 41405 2.06316688240793 2.57895860300991 1.03158344120396 1.54737516180595 4.12633376481585 26.3053777507011 0 3.61054204421387 14.9579598974575 4.12633376481585 24.2422108682931 5.6737089266218 31.9790866773229 22.6948357064872 16.5053350592634 19.6000853828753 11.3474178532436 7.22108408842775 5.15791720601982 6.18950064722378 20.6316688240793 98.0004269143765 16.2680708677865 0.471639949318452 0.840162817854156 0.9178750230827 "cc1"
"39" "balb/cj" "female" 30 "b57" 11 0.27533895044443 20 21215 9.16860248931016 2.61960071123148 0.654900177807869 0 2.61960071123148 8.5137023115023 0 22.9215062232754 6.54900177807869 12.4431033783495 24.886206756699 12.4431033783495 11.1333030227338 41.9136113797036 314.352085347777 260.650270767532 184.681850141819 137.529037339652 132.28983591719 131.634935739382 14.4078039117731 149.317240540194 19.3850452631129 0.499426875596281 0.798336414751348 1.33664061553877 "cc1"
"40" "balb/cj" "female" 30 "b57" 9 0.542785391696408 20 21216 6.31829585875539 2.70784108232374 2.25653423526978 0.902613694107913 0 4.06176162348561 0 18.5035807292122 3.61045477643165 2.70784108232374 19.4061944233201 11.2826711763489 4.96437531759352 24.8218765879676 157.957396468885 62.280344893446 55.0594353405827 92.969210493115 77.6247776932805 86.1996077873057 11.7339780234029 64.9881859757697 13.5843360963241 0.353373261243248 0.575010053831446 0.746687727239897 "cc1"
"41" "balb/cj" "male" 30 "b43" 7 0.533465999883912 21 21169 8.28885161171815 6.0282557176132 0 0 3.0141278588066 10.5494475058231 0 27.880682693961 0 13.5635753646297 36.1695343056792 14.3171073293313 13.5635753646297 41.4442580585907 348.131767692162 283.32801872782 207.221290292954 189.890055104816 188.382991175412 183.861799387203 36.1695343056792 180.847671528396 31.1359407814722 0.706812982890147 1.27542820345401 1.77423848340381 "cc1"
"42" "balb/cj" "male" 30 "b43" 5 0.477984293462385 21 21170 7.05353388846705 5.12984282797604 1.28246070699401 1.28246070699401 1.28246070699401 7.69476424196406 0 21.1606016654012 3.84738212098203 6.41230353497005 32.7027480283472 13.4658374234371 10.2596856559521 31.4202873213532 285.988737659664 220.58324160297 243.667534328862 197.498948877077 171.849734737197 169.926043676706 43.6036640377963 100.031935145533 28.1756617326584 0.575183627086813 1.01436229619691 0.962041451767715 "cc1"
"43" "c57bl6/j" "female" 30 "c48" 9 0.0196248896522889 22 41489 4.39847081898189 3.45594135777148 0.314176487070135 0.628352974140269 1.25670594828054 10.6820005603846 0 12.2528829957353 1.57088243535067 0.314176487070135 11.624530021595 8.1685886638235 12.5670594828054 14.1379419181561 125.670594828054 79.1724747416739 68.1762976942192 64.7203563364478 52.1532968536424 53.724179288993 15.0804713793665 48.3831790088007 9.5698157961563 0.277480673380343 0.485289568988013 0.552428616780288 "cc1"
"44" "c57bl6/j" "female" 30 "c48" 4 0.928293603337312 22 41490 2.15780150473989 2.62018754146987 0 0.154128678909992 0 5.24037508293974 0 2.31193018364988 0.462386036729977 1.38715811018993 8.16881998222959 4.77798904620976 5.39450376184973 4.16147433056979 64.4257877843768 46.2386036729977 43.3101587737078 30.5174784241785 30.5174784241785 32.0587652132784 12.6385516706194 20.961500331759 4.94136544585435 0.136712138193163 0.239654682837147 0.295655330330664 "cc1"
"45" "balb/cj" "female" 30 "b27" 8 0.562952772399787 23 21112 4.8261837003119 4.02181975025991 0 0 5.63054765036388 15.2829150509877 0 24.9352824516115 7.23927555046784 19.3047348012476 32.9789219521313 8.84800345057181 20.9134627013515 51.4792928033269 353.920138022872 276.701198817882 448.030720178954 162.4815179105 143.176783109253 150.416058659721 38.6094696024952 133.524415708629 28.9571022018714 0.68982252356458 1.1868550955807 2.02064969780541 "cc1"
"46" "balb/cj" "female" 30 "b27" 6 0.668147924798703 23 21113 5.37544981878071 8.06317472817107 0 2.68772490939036 4.47954151565059 12.5427162438217 0 42.1076902471156 7.16726642504095 12.5427162438217 33.1486072158144 13.4386245469518 19.7099826688626 61.8176729159782 363.738771070828 223.97707578253 215.913901054359 100.341729950573 77.0481140691902 84.2153804942311 48.3790483690264 139.761695288298 30.460882306424 0.829252725377238 1.48641938388924 1.89068518522889 "cc1"
"47" "c57bl6/j" "male" 30 "c25" 8 0.643269807896752 24 41009 3.05327865727423 6.86987697886702 0 0 1.52663932863712 6.86987697886702 0 32.822745565698 7.63319664318558 0.763319664318558 41.2192618732021 9.92315563614126 8.39651630750414 41.2192618732021 329.754094985617 245.788931910576 168.693645814401 128.237703605518 112.971310319147 87.0184417323156 21.3729506009196 206.096309366011 29.2351431434008 0.658134214575461 1.13577386132616 1.37621961817871 "cc1"
"48" "c57bl6/j" "male" 30 "c25" 8 0.37398265935262 24 41403 2.75581226985629 0.688953067464072 0 0.688953067464072 0.688953067464072 11.7122021468892 0 13.7790613492814 13.0901082818174 1.37790613492814 46.1598555200928 3.44476533732036 13.0901082818174 28.247075766027 322.430035573186 253.534728826779 273.514367783237 161.215017786593 154.325487111952 157.770252449273 22.0464981588503 140.546425762671 27.3238786556251 0.578169414215849 0.982336841712973 1.45279429855398 "cc1"
"49" "balb/cj" "female" 30 "b36" 5 0.468161166683344 25 21145 3.4120141103345 8.10353351204445 0.853003527583626 0 2.13250881895907 9.38303880341989 0 14.5010599689216 1.27950529137544 3.4120141103345 18.339575843048 12.3685511499626 11.515547622379 19.1925793706316 34.9731446309287 23.0310952447579 27.7226146464678 24.7371022999252 22.1780917171743 22.1780917171743 34.120141103345 87.0063598135299 14.5181200394733 0.35425236500548 0.598219903929673 0.919117555193221 "cc1"
"50" "balb/cj" "female" 30 "b36" 8 0.582589259879109 25 21146 4.38891376428931 11.5208986312594 0.548614220536164 0 1.64584266160849 12.6181270723318 0 23.0417972625189 3.29168532321698 4.93752798482547 17.5556550571572 16.4584266160849 14.2639697339403 31.2710105705613 14.2639697339403 31.8196247910975 19.7501119393019 0 0 0 26.3334825857359 43.8891376428931 18.7077449202832 0.450631720748405 0.755869700770316 1.32994490868321 "cc1"
"51" "c57bl6/j" "male" 30 "c26" 8 0.965032750437741 26 41406 1.63541107514638 13.9009941387442 0.817705537573188 1.63541107514638 0.817705537573188 23.7134605896225 0 22.8957550520493 13.083288601171 3.27082215029275 31.8905159653543 16.3541107514638 26.166577202342 39.249865803513 98.1246645087826 98.1246645087826 93.2184312833435 19.6249329017565 19.6249329017565 20.4426384393297 55.6039765549768 103.030897734222 29.584586349398 0.755886998932655 1.35402224555669 1.59141506650757 "cc1"
"52" "c57bl6/j" "male" 30 "c26" 10 0.586244007421236 26 41407 1.29706486273916 5.18825945095662 0 0 1.94559729410873 25.2927648234135 0 12.322116196022 10.3765189019132 0.648532431369578 27.2383621175223 6.48532431369578 27.2383621175223 23.3471675293048 63.5561782742187 53.1796593723054 29.8324918430006 37.6148810194355 37.6148810194355 35.6692837253268 10.3765189019132 73.9326971761319 24.5664085002796 0.615068157910908 1.11591678400901 1.25835925912361 "cc1"
"53" "balb/cj" "female" 30 "b37" 14 0.23727379866523 27 21149 1.81401338067765 1.45121070454212 0 0 3.6280267613553 3.99082943749083 0 11.9724883124725 0 3.26522408521977 21.0425552158607 3.26522408521977 7.61885619884612 15.2377123976922 26.1217926817581 157.45636144282 131.334568761062 16.6889231022344 12.335290988608 9.43286957952377 23.2193712726739 126.980936647435 12.5819968083802 0.335447354354911 0.600953608804414 0.371471811978337 "cc0"
"54" "balb/cj" "female" 30 "b37" 10 0.294694312533187 27 21150 2.27347040204385 3.18285856286139 0.45469408040877 0 1.81877632163508 5.91102304531401 0 16.8236809751245 0 4.09224672367893 29.1004211461613 5.91102304531401 7.72979936694909 20.9159276988034 177.33069135942 100.942085850747 132.770671479361 115.492296423828 115.492296423828 115.492296423828 34.5567501110665 102.760862172382 15.2595333385183 0.413862551988063 0.735485862824402 0.932134952425412 "cc1"
"55" "balb/cj" "male" 30 "b24" 5 0.758656374220433 28 21092 3.24948420166767 6.49896840333535 1.08316140055589 0.541580700277946 1.62474210083384 5.41580700277946 0 9.74845260500302 2.16632280111178 4.87422630250151 32.4948420166767 10.8316140055589 7.58212980389124 16.7890017086163 15.1642596077825 29.2453578150091 15.7058403080604 2.16632280111178 1.08316140055589 2.16632280111178 36.8274876189003 43.3264560222357 22.6055784296015 0.460776859796476 0.789169733217012 1.16803069996743 "cc1"
"56" "balb/cj" "male" 30 "b24" 12 0.617465839239365 28 21093 4.13785032990952 4.8274920515611 2.75856688660634 1.37928344330317 1.37928344330317 9.6549841031222 0 25.5167437011087 1.37928344330317 2.75856688660634 36.5510112475341 11.723909268077 12.4135509897285 29.6545940310182 39.999219855792 9.6549841031222 6.20677549486427 17.9306847629412 12.4135509897285 13.1031927113801 73.1020224950681 162.755446309774 28.5925457796748 0.567299280230595 0.952409010435273 1.50676960095292 "cc1"
"57" "c57bl6/j" "male" 30 "c48" 8 0.448043827571924 29 41491 1.06019663073869 1.90835393532964 0.424078652295476 0.424078652295476 0.424078652295476 2.33243258762512 0 6.78525843672761 0.636117978443214 1.48427528303417 12.2982809165688 3.39262921836381 3.18058989221607 8.90565169820499 102.20295520321 83.9675731545042 74.6378428040037 58.9469326690711 53.8579888415254 53.0098315369345 13.5705168734552 50.8894382754571 NA NA NA NA NA
"58" "c57bl6/j" "male" 30 "c48" 6 0.662885263284062 29 41492 3.65303973783882 2.92243179027106 0 0 3.65303973783882 10.9591192135165 0 39.4528291686593 1.46121589513553 9.49790331838093 34.3385735356849 6.57547152810988 14.6121589513553 50.4119483821757 NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "balb/cj" "female" 30 "b43" 3 0.608890331485637 30 21167 6.80397167813315 5.7572068045742 1.04676487355895 0 0 2.09352974711789 0 20.4119150343994 2.09352974711789 12.5611784827074 17.7950028505021 13.6079433562663 2.09352974711789 35.0666232642247 215.633563953143 150.734141792488 190.511206987728 120.377960459279 101.536192735218 106.770017103012 48.1511841837115 178.99679337858 18.0566940688918 0.432313892779845 0.727606263610823 0.869919688629729 "cc1"
"60" "balb/cj" "female" 30 "b43" 6 0.488032885327366 30 21168 6.64129355497192 2.04347493999136 0 0 1.53260620499352 5.1086873499784 0 17.8804057249244 4.08694987998272 3.06521240998704 27.0760429548855 8.68476849496328 6.64129355497192 25.0325680148942 229.890930749028 162.456257729313 170.119288754281 68.4564104897106 56.1955608497624 57.2172983197581 25.543436749892 22.478224339905 18.7590999491207 0.458351429040062 0.808419121009982 0.826890826643543 "cc1"
